NewHash(v1.38),BaseHash
14E85C5EE7A4D542,3D6C56487C41708E
534AEBA6E5ED4CAB,95BE01470232BFD7
DAD029E187A2BEB4,040CCF00053DBCB0
A7A932170592B50E,0E8572B08CEB6A11
865908C81A2C22E9,FE1DEC9C5734D0C0
726256CC1EEB182F,B3099507583713CA
9CB5CE07A3968D5A,5359E9154EC8BC8F
32C62AA929C2DA6A,987940DFD4A807FF
A8FDB297A8D25FBA,8F639D0D922F6888
FDB423997FA30340,97B846780E2A8C66
E1CD1E48E025E661,E1AA8B5D9066529D
03FC694AE06C5A20,DFEA7BB6BBCCEC80
A0FE76168A189DDB,FBB350E73795834E
20746F7B1032A3C7,31F2EFD33130D530
719FF505F097FD20,AF98B1BA240CE3DB
6D3465A73092F0E6,2EA77AAC984722FF
DF47FC56C71569CF,348B9A67D786EAEA
02C40BF885C567B6,51FB94D5F3D17E35
E4A310B1D7FA73CC,0BC8768247440B3A
C254481A4574CB2F,3DF4E172AD7D16AF
07E5B515DB0636FC,09F9466B03D29D2D
477D5D63E63ECA5D,8F00E6BF3D6A18D3
7CD6BC4C2BBDD526,88A92D91AB021F3F
742A637471BCECD9,5DDC0EBEF6A48288
9A1B3FCDB36C8697,20F6F12F2945E30E
FFC24B988B938B38,B6E26A0DD88BE958
2208438012482A1A,E37EB80DFB0D31FB
5E3CF89C6BCCA67D,84F073038B557438
9A2D0FB2E7852392,5DECB07FFEBB3573
584FDFDA48805B86,3AEC124A3999B3D1
693A5C6D6734085B,A48FA5CE681A5230
BD6E84632DD4CB3F,BC2EC768349461B7
7A1ADEEF01740A24,8CFE477EBC9C9655
EEF059FAD016D209,5E7C0A485B91DB87
24CB2137731FFE89,3921ADAA229028DA
EC5F66E459AF3BB2,50EE6E8623617CB7
8EE6B53CE13A9794,F829AB4233B77423
262B14F48D29DE80,4170FE884DF7426D
FFA5D878809819DB,D13544ADC6A3F165
FE466162C4401D18,9626157791916A72
3D87450E15D98694,A2B3B271E2AE7A08
9737A37136F07E75,1FB6C0DF282CC98A
25367DE49D64CF16,ADB056FF4873632E
504D54DF3F6F2247,CC5ED49CF9C9215F
0499D7B09FC9B407,908D1ACF42DAF9B8
6CD79468A1E595C6,0C7C436873368EDB
FBD96D87AC96D533,C9E2A193C0DDFC43
80C2FD58D720C801,D895F953C52A8886
D69736AAE04DB51A,82D42F43BE26EB72
0DF606929C105BE1,44EF5678D6916481
A7C4F2C6E744A550,3CF5ADE443D18312
22AC59A870E6A669,9B73EB6255D4AE81
5D511E3867C87139,C1FCB6CC23926AD5
E18B138FABC53103,D76BEAE1A33E3251
C1E8A365BF3B29F2,D991F7672CE8EAD3
15C86013127CE63F,33E81EAD05166B1B
07FB139B592FA687,ABAA7F8FD10DCDF2
F0AF20AA7731F8C3,A0F8D741F5D8E7E4
56CEF0AC79073BDE,472BD05C38FE7A6B
EEB64139BA29A7CF,EA38A0CECA79D07B
70A2D1137C8ED7C9,82D2BB48A39F1E88
9072C8B49907BFAD,CCCF5C35DC145D71
C86D67D52A707CF8,A6E8FBD68548675F
A72CD9CA74A5ECBA,A5030CC1B9A0FDA6
8E04FEDD28D42462,676B3404DACBD7C7
234CDD44D996FD9A,FEAAC380BBD053F4
480142959D337D00,0509CE092AC81B7C
BB9CE077274F6A1B,4B770B4D8C1A469B
49E50BDB8BA4DAB2,A880F40656CC1779
